symbol,date,flip,conf,strength,dir,entry_close,fwd1,fwd3,fwd5
ONGC,2026-04-27,BEARISH_TO_BULLISH,66.9,STRONG,1.0,301.3,0.0331895121141606,-2.7879190175904527,-6.803849983405244
ONGC,2026-04-29,BULLISH_TO_BEARISH,65.0,STRONG,-1.0,299.55,2.2199966616591666,6.259389083625439,6.7935236187614825
ONGC,2026-05-07,BEARISH_TO_BULLISH,47.6,MODERATE,1.0,279.2,0.6446991404011502,6.429083094555871,7.217048710601731
ONGC,2026-05-11,BULLISH_TO_BEARISH,65.0,STRONG,-1.0,294.55,-0.8827024274316638,-1.6296044814123278,-0.6620268205737527
ONGC,2026-05-13,BEARISH_TO_BULLISH,57.5,MODERATE,1.0,300.9,-0.5151213027583764,-1.4622798271851039,-1.6782984380192605
ONGC,2026-05-18,BULLISH_TO_BEARISH,88.6,STRONG,-1.0,296.5,-0.6070826306914034,2.1922428330522767,3.0354131534569984
ONGC,2026-06-03,BEARISH_TO_BULLISH,50.7,MODERATE,1.0,267.55,-1.0465333582507985,-3.195664361801537,-5.5877406092319255
ONGC,2026-06-04,BULLISH_TO_BEARISH,53.7,MODERATE,-1.0,264.75,0.03777148253069792,4.8536355051935764,7.006610009442875
ONGC,2026-06-16,BEARISH_TO_BULLISH,74.3,STRONG,1.0,245.0,0.12244897959184137,0.18367346938775045,-2.0408163265306123
ONGC,2026-06-17,BULLISH_TO_BEARISH,78.4,STRONG,-1.0,245.3,-0.3872808805544185,0.38728088055443005,4.973501834488388
ONGC,2026-06-23,BEARISH_TO_BULLISH,65.0,STRONG,1.0,240.0,-2.875000000000002,-2.124999999999998,-1.68333333333333
ONGC,2026-06-24,BULLISH_TO_BEARISH,80.9,STRONG,-1.0,233.1,-0.38610038610038855,-0.8108108108108171,-2.0334620334620372
ONGC,2026-06-29,BEARISH_TO_BULLISH,66.9,STRONG,1.0,234.9,0.038314176245212175,1.2515964240102162,3.950617283950618
ONGC,2026-06-30,BULLISH_TO_BEARISH,72.0,STRONG,-1.0,234.99,-0.4127835227030932,-3.791650708540787,-5.110855781097063
ONGC,2026-07-06,BEARISH_TO_BULLISH,97.7,STRONG,1.0,244.18,1.1548857400278456,0.31943648128429897,1.9330002457203697
ONGC,2026-07-07,BULLISH_TO_BEARISH,52.0,MODERATE,-1.0,247.0,1.3562753036437223,-0.5870445344129509,-0.06882591093116902
ONGC,2026-07-10,BEARISH_TO_BULLISH,66.2,STRONG,1.0,248.45,0.18112296236668024,-0.6842423022740949,0.4548198832763228
ONGC,2026-07-14,BULLISH_TO_BEARISH,65.0,STRONG,-1.0,247.17,0.16992353440951066,-0.9750374236355646,-1.9136626613262202
ONGC,2026-07-15,BEARISH_TO_BULLISH,26.6,WEAK,1.0,246.75,0.2188449848024284,1.3009118541033466,
ONGC,2026-07-17,BULLISH_TO_BEARISH,79.3,STRONG,-1.0,249.58,-0.1522557897267391,,
ONGC,2026-07-21,BEARISH_TO_BULLISH,65.8,STRONG,1.0,251.9,,,
PATANJALI,2025-07-15,BEARISH_TO_BULLISH,65.6,STRONG,1.0,1859.8,2.661576513603613,4.419830089256912,4.048822454027312
PATANJALI,2025-07-16,BULLISH_TO_BEARISH,40.6,MODERATE,-1.0,1909.3,-1.7021945215524015,-1.712669564761957,0.5656523333158725
PATANJALI,2025-07-22,BEARISH_TO_BULLISH,57.2,MODERATE,1.0,1935.1,-1.8913751227326705,-3.8085887034261705,-1.813859748850184
PATANJALI,2025-07-24,BULLISH_TO_BEARISH,48.1,MODERATE,-1.0,1880.4,1.0104233141884704,-1.042331418847049,1.0316953839608642
PATANJALI,2025-07-25,BEARISH_TO_BULLISH,26.4,WEAK,1.0,1861.4,1.3860535081121712,0.6769098527989635,-0.016116901257128072
PATANJALI,2025-07-29,BULLISH_TO_BEARISH,36.6,MODERATE,-1.0,1900.0,1.368421052631579,2.0473684210526364,3.9947368421052682
PATANJALI,2025-07-30,BEARISH_TO_BULLISH,29.7,WEAK,1.0,1874.0,-0.6937033084311632,-2.1664887940234747,-2.8601921024546377
PATANJALI,2025-08-20,BULLISH_TO_BEARISH,23.4,WEAK,-1.0,1809.0,0.4201216141514598,0.5306799336650032,1.7302377003869516
PATANJALI,2025-08-22,BEARISH_TO_BULLISH,12.2,WEAK,1.0,1805.9,-0.359931336175868,-1.5615482584860758,-0.06091145689130829
PATANJALI,2025-09-05,BEARISH_TO_BULLISH,35.4,MODERATE,1.0,1798.2,0.22244466688911133,-66.69447225002781,-66.68335001668333
PATANJALI,2025-09-08,BULLISH_TO_BEARISH,22.8,WEAK,-1.0,1802.2,0.011097547442017838,67.11241815558762,66.68516257907004
PATANJALI,2025-09-15,BEARISH_TO_BULLISH,43.8,MODERATE,1.0,600.4,0.3164556962025279,1.4157228514323783,-0.0832778147901399
PATANJALI,2025-09-18,BULLISH_TO_BEARISH,40.5,MODERATE,-1.0,608.9,1.872228608966986,1.3302676958449702,3.251765478732133
PATANJALI,2025-09-23,BEARISH_TO_BULLISH,30.6,WEAK,1.0,600.8,-0.11651131824233221,-0.5992010652463231,-3.2956058588548527
PATANJALI,2025-10-20,BEARISH_TO_BULLISH,30.2,WEAK,1.0,588.75,0.8237791932059486,0.3057324840764254,2.717622080679406
PATANJALI,2025-11-07,BEARISH_TO_BULLISH,42.6,MODERATE,1.0,580.0,0.4482758620689694,1.810344827586207,1.1982758620689733
PATANJALI,2025-11-13,BULLISH_TO_BEARISH,66.5,STRONG,-1.0,587.85,0.15310028068384404,0.833545972612057,1.4119248107510534
