symbol,holding_days,trades,avg_return_pct,median_return_pct,total_return_pct,best_return_pct,worst_return_pct,win_rate_pct,stop_rate_pct,expectancy_rank
JSWENERGY,10,30,-1.964,-2.167,-58.911,11.084,-7.2,23.333,63.333,-2.51
MARICO,5,59,-1.218,-1.598,-71.836,4.415,-5.263,27.119,32.203,-2.536
COFORGE,15,29,-1.954,-2.387,-56.663,3.243,-5.71,24.138,65.517,-2.54
NMDC,10,72,-2.176,-2.374,-156.649,5.804,-7.2,13.889,68.056,-2.564
HUDCO,15,27,-2.242,-1.677,-60.527,3.384,-7.2,22.222,77.778,-2.589
MARICO,3,59,-1.171,-0.91,-69.102,2.694,-5.263,28.814,18.644,-2.592
VBL,10,50,-1.414,-1.953,-70.701,4.585,-7.2,26.0,68.0,-2.6
PFC,15,50,-1.42,-2.368,-71.017,9.008,-6.613,26.0,74.0,-2.611
NYKAA,3,72,-1.167,-1.2,-83.995,2.566,-4.962,26.389,30.556,-2.612
ANGELONE,10,31,-1.822,-1.376,-56.473,5.09,-7.2,25.806,74.194,-2.618
TATACONSUM,15,60,-1.561,-1.641,-93.68,4.395,-7.2,21.667,63.333,-2.62
NBCC,10,42,-2.139,-3.216,-89.819,7.931,-7.2,19.048,73.81,-2.64
BAJFINANCE,15,51,-1.007,-1.36,-51.36,6.129,-7.2,37.255,58.824,-2.679
AMBER,5,34,-1.563,-1.061,-53.152,6.145,-7.2,29.412,44.118,-2.681
SAIL,10,97,-1.773,-1.529,-171.952,6.995,-7.2,15.464,74.227,-2.7
MARICO,15,59,-2.598,-3.312,-153.258,1.894,-7.2,13.559,71.186,-2.705
TORNTPOWER,3,34,-1.225,-2.103,-41.648,7.489,-7.2,38.235,41.176,-2.731
NMDC,5,72,-1.475,-1.923,-106.17,5.222,-6.193,22.222,55.556,-2.78
TORNTPOWER,5,34,-1.675,-2.775,-56.934,9.134,-7.2,29.412,50.0,-2.872
CHOLAFIN,5,51,-1.76,-1.881,-89.775,2.543,-7.2,23.529,72.549,-2.958
TATASTEEL,5,114,-0.974,-1.053,-110.983,8.639,-7.2,30.702,53.509,-3.191
JSWENERGY,3,32,-1.545,-1.464,-49.453,2.875,-7.2,37.5,31.25,-3.278
ONGC,10,91,-1.343,-1.2,-122.218,5.873,-7.2,30.769,51.648,-3.942
ONGC,15,91,-1.406,-1.493,-127.904,7.443,-7.2,30.769,61.538,-4.126
